id,provider_id,name,era,seasons,regular_games,regular_ppg,regular_rpg,regular_apg,regular_spg,regular_bpg,regular_fg_pct,regular_three_pct,regular_ft_pct,playoff_games,playoff_ppg,playoff_rpg,playoff_apg,playoff_spg,playoff_bpg,playoff_fg_pct,playoff_three_pct,playoff_ft_pct,mvp,all_nba,dpoy,championships,finals_mvp,award_source,record_source,image_license
sharman-bill,78126,Bill Sharman,1950s,11,711,17.8,3.9,3.0,,,42.6,,88.3,78,18.5,3.7,2.6,,,42.6,,91.1,0,7,,4,,https://www.nba.com/stats/player/78126/awards,https://www.nba.com/stats/player/78126/traditional?PerMode=Totals,NBA.com CDN public-source development import.
stockton-john,304,John Stockton,1990s,19,1504,13.1,2.7,10.5,2.2,0.2,51.5,38.4,82.6,182,13.4,3.3,10.1,1.9,0.3,47.3,32.6,81.0,0,11,0,0,0,https://www.nba.com/stats/player/304/awards,https://www.nba.com/stats/player/304/traditional?PerMode=Totals,NBA.com CDN public-source development import.
thomas-isiah,78318,Isiah Thomas,1980s,13,979,19.2,3.6,9.3,1.9,0.3,45.2,29.0,75.9,111,20.4,4.7,8.9,2.1,0.3,44.1,34.6,76.9,0,5,0,2,1,https://www.nba.com/stats/player/78318/awards,https://www.nba.com/stats/player/78318/traditional?PerMode=Totals,NBA.com CDN public-source development import.
thurmond-nate,600001,Nate Thurmond,1970s,14,964,15.0,15.0,2.7,,,42.1,,66.7,81,11.9,13.6,2.8,,,41.6,,62.1,0,0,,0,0,https://www.nba.com/stats/player/600001/awards,https://www.nba.com/stats/player/600001/traditional?PerMode=Totals,NBA.com CDN public-source development import.
unseld-wes,78392,Wes Unseld,1970s,13,984,10.8,14.0,3.9,,,50.9,50.0,63.3,119,10.6,14.9,3.8,,,49.3,0.0,60.8,1,1,,1,1,https://www.nba.com/stats/player/78392/awards,https://www.nba.com/stats/player/78392/traditional?PerMode=Totals,NBA.com CDN public-source development import.
wade-dwyane,2548,Dwyane Wade,2010s,16,1054,22.0,4.7,5.4,1.5,0.8,48.0,29.3,76.5,177,22.3,5.2,4.9,1.5,1.0,47.4,33.8,78.0,0,8,0,3,1,https://www.nba.com/stats/player/2548/awards,https://www.nba.com/stats/player/2548/traditional?PerMode=Totals,NBA.com CDN public-source development import.
walton-bill,78450,Bill Walton,1980s,10,468,13.3,10.5,3.4,0.8,2.2,52.1,0.0,66.0,49,10.8,9.1,3.0,0.7,1.7,52.5,0.0,67.3,1,2,0,2,1,https://www.nba.com/stats/player/78450/awards,https://www.nba.com/stats/player/78450/traditional?PerMode=Totals,NBA.com CDN public-source development import.
west-jerry,78497,Jerry West,1960s,14,932,27.0,5.8,6.7,,,47.4,,81.4,153,29.1,5.6,6.3,,,46.9,,80.5,0,12,,1,1,https://www.nba.com/stats/player/78497/awards,https://www.nba.com/stats/player/78497/traditional?PerMode=Totals,NBA.com CDN public-source development import.
westbrook-russell,201566,Russell Westbrook,2010s,18,1301,20.9,6.9,8.0,1.6,0.3,43.8,30.8,77.1,135,22.5,6.7,7.1,1.7,0.3,40.5,29.9,82.0,1,9,0,0,0,https://www.nba.com/stats/player/201566/awards,https://www.nba.com/stats/player/201566/traditional?PerMode=Totals,NBA.com CDN public-source development import.
wilkens-lenny,78530,Lenny Wilkens,1960s,15,1077,16.5,4.7,6.7,,,43.2,,77.4,64,16.1,5.8,5.8,,,39.9,,76.9,0,0,,0,0,https://www.nba.com/stats/player/78530/awards,https://www.nba.com/stats/player/78530/traditional?PerMode=Totals,Wikimedia Commons public domain in the United States; Malcolm Emmons; https://commons.wikimedia.org/wiki/File:Lenny_Wilkens_1968_(cropped).jpeg
wilkins-dominique,1122,Dominique Wilkins,1980s,15,1074,24.8,6.7,2.5,1.3,0.6,46.1,31.9,81.1,56,25.4,6.7,2.6,1.3,0.6,42.9,28.1,82.4,0,7,0,0,0,https://www.nba.com/stats/player/1122/awards,https://www.nba.com/stats/player/1122/traditional?PerMode=Totals,NBA.com CDN public-source development import.
worthy-james,1460,James Worthy,1980s,12,926,17.6,5.1,3.0,1.1,0.7,52.1,24.1,76.9,143,21.1,5.2,3.2,1.2,0.7,54.4,20.9,72.7,0,2,0,3,1,https://www.nba.com/stats/player/1460/awards,https://www.nba.com/stats/player/1460/traditional?PerMode=Totals,NBA.com CDN public-source development import.
jokic-nikola,203999,Nikola Jokić,2020s,11,810,22.2,11.1,7.5,1.3,0.7,56.1,36.2,82.5,100,27.4,12.4,7.7,1.2,0.9,52.0,37.3,83.3,3,8,0,1,1,https://www.nba.com/stats/player/203999/awards,https://www.nba.com/stats/player/203999/traditional?PerMode=Totals,NBA.com CDN public-source development import.
embiid-joel,203954,Joel Embiid,2020s,10,490,27.6,10.8,3.7,0.9,1.6,50.0,33.9,83.0,66,24.8,10.5,3.3,0.8,1.6,45.9,27.7,82.8,1,5,0,0,0,https://www.nba.com/stats/player/203954/awards,https://www.nba.com/stats/player/203954/traditional?PerMode=Totals,NBA.com CDN public-source development import.
gilgeous-alexander-shai,1628983,Shai Gilgeous-Alexander,2020s,8,530,25.3,4.7,5.3,1.4,0.8,50.8,36.0,86.4,61,26.2,4.8,6.2,1.4,1.0,46.7,34.0,86.9,2,4,0,1,1,https://www.nba.com/stats/player/1628983/awards,https://www.nba.com/stats/player/1628983/traditional?PerMode=Totals,NBA.com CDN public-source development import.
doncic-luka,1629029,Luka Dončić,2020s,8,514,29.2,8.5,8.2,1.3,0.5,46.9,35.2,75.5,55,30.9,9.2,7.8,1.6,0.5,46.1,34.7,73.7,0,6,0,0,0,https://www.nba.com/stats/player/1629029/awards,https://www.nba.com/stats/player/1629029/traditional?PerMode=Totals,NBA.com CDN public-source development import.
tatum-jayson,1628369,Jayson Tatum,2020s,9,601,23.5,7.4,3.9,1.1,0.6,45.8,36.8,83.9,127,24.2,8.3,5.0,1.2,0.8,44.0,34.9,83.9,0,5,0,1,0,https://www.nba.com/stats/player/1628369/awards,https://www.nba.com/stats/player/1628369/traditional?PerMode=Totals,NBA.com CDN public-source development import.
booker-devin,1626164,Devin Booker,2020s,11,737,24.6,4.0,5.3,0.9,0.3,46.3,35.2,87.3,51,27.5,5.0,5.2,1.0,0.4,48.4,38.0,89.0,0,2,0,0,0,https://www.nba.com/stats/player/1626164/awards,https://www.nba.com/stats/player/1626164/traditional?PerMode=Totals,NBA.com CDN public-source development import.
irving-kyrie,202681,Kyrie Irving,2010s,14,779,23.7,4.1,5.6,1.3,0.4,47.4,39.4,88.8,96,23.0,3.7,4.9,1.3,0.6,45.8,39.2,88.3,0,3,0,1,0,https://www.nba.com/stats/player/202681/awards,https://www.nba.com/stats/player/202681/traditional?PerMode=Totals,NBA.com CDN public-source development import.
green-draymond,203110,Draymond Green,2010s,14,949,8.7,6.8,5.6,1.3,1.0,44.7,32.1,71.0,169,11.4,8.6,6.0,1.5,1.3,44.5,30.0,72.6,0,2,1,4,0,https://www.nba.com/stats/player/203110/awards,https://www.nba.com/stats/player/203110/traditional?PerMode=Totals,NBA.com CDN public-source development import.
thompson-klay,202691,Klay Thompson,2010s,13,934,18.6,3.4,2.2,0.8,0.5,44.8,40.9,85.8,158,19.2,4.0,2.2,0.9,0.5,43.6,40.5,84.5,0,2,0,4,0,https://www.nba.com/stats/player/202691/awards,https://www.nba.com/stats/player/202691/traditional?PerMode=Totals,NBA.com CDN public-source development import.
